"","X","Precio","Superficie_Terreno","Superficie_Habitacional","Agno_Construccion","Antiguedad_Promedio","Avaluo_Fiscal","Avaluo_Fiscal_Unitario","Barrio","Calidad_Habitacional","IPV_General","Latitud","Longitud","Tipo_Comprador_Simple","Tipo_Vendedor_Simple","Trimestre","Valor_Unitario_Terreno","Valor_Unitario_Construccion_Habitacional_Promedio","Fecha_Transaccion","Precio_Unitario"
"174",174,28000,665,258,1953,61,20099.1382336807,30.2242680205725,"parque_bicentenario",2,153.207397204297,-33.39854,-70.595787,"Empresa","Persona","T3",20.7464102481366,22.6419768342476,"2014-09-27",42.1052631578947
"175",175,27412,665,258,1953,61,20099.1382336807,30.2242680205725,"parque_bicentenario",2,153.291015051089,-33.39854,-70.595787,"Empresa","Empresa","T4",20.7464102481366,22.6419768342476,"2014-12-31",41.2210526315789
"176",176,78000,1035,526,2015,5,45282.3309347875,43.7510443814372,"parque_bicentenario",1,204.936630465637,-33.398564,-70.596328,"Persona","Persona","T1",20.7464102481366,37.2519008121967,"2020-01-19",75.3623188405797
"177",177,15373,506,267,1956,40.946629684398,15647.7401826337,30.9243877127148,"parque_bicentenario",2,219.627440182518,-33.398522,-70.596604,"Empresa","Persona","T2",20.7464102481366,21.8648076255842,"2021-06-13",30.3814229249012
"178",178,31442,878,340,1953,65.9999999999995,23630.0916395082,26.9135440085515,"parque_bicentenario",3,194.959351316001,-33.398502,-70.596772,"Persona","Empresa","T1",20.7464102481366,14.8988238012649,"2019-02-24",35.8109339407745
"179",179,14900,311,110,1968,48.909090909091,7272.81359104256,23.3852527043169,"parque_bicentenario",3,203.460525846961,-33.398478,-70.596933,"Persona","Persona","T4",20.7464102481366,15.1877464631883,"2019-10-24",47.9099678456592
"180",180,20728,213,161,1954,60.5083041664263,6600.33942112226,30.9875090193533,"parque_bicentenario",3.09316770186335,203.460525846961,-33.39824,-70.595782,"Persona","Empresa","T4",20.7464102481366,14.5542676739927,"2019-11-13",97.3145539906103
"181",181,20000,500,232,1948,56.1400560295194,14268.0397534768,28.5360795069536,"parque_bicentenario",2.66379310344828,190.549339228614,-33.398215,-70.595968,"Persona","Persona","T3",20.7464102481366,16.976170040668,"2018-07-01",40
"182",182,10318,250,124,1956,62,7198.33725920429,28.7933490368172,"parque_bicentenario",3,184.771172717264,-33.397308,-70.595833,"Persona","Empresa","T2",20.7464102481366,15.1877464631883,"2018-05-26",41.272
"183",183,54458,1250,427,1960,56.0080730366294,33655.4634894002,26.9243707915202,"parque_bicentenario",2.04918032786885,200.769821018205,-33.397424,-70.59605,"Empresa","Persona","T3",20.7464102481366,21.3230360547252,"2019-09-05",43.5664
"184",184,42072,582,167,1965,52,23910.5430608886,41.0834073211144,"parque_bicentenario",3,180.92248440859,-33.397839,-70.598331,"Empresa","Persona","T4",32.1569165241522,14.9681421724489,"2017-12-31",72.2886597938144
"185",185,42192,582,167,1965,55,23910.5430608886,41.0834073211144,"parque_bicentenario",3,203.129032075637,-33.397839,-70.598331,"Empresa","Empresa","T3",32.1569165241522,14.9681421724489,"2020-07-11",72.4948453608247
"186",186,13470,510,149,1965,54.0000000000002,14597.6999128779,28.6229410056429,"parque_bicentenario",2.06711409395973,203.460525846961,-33.39699,-70.595376,"Persona","Persona","T4",20.7464102481366,22.0537880352468,"2019-12-25",26.4117647058824
"187",187,53000,1012,292,1967,45.0389893543852,27835.0017747088,27.5049424651273,"parque_bicentenario",2.78767123287671,184.771172717264,-33.396764,-70.595426,"Persona","Persona","T2",20.7464102481366,16.7211528773359,"2018-04-15",52.3715415019763
"188",188,59980,1012,292,1967,48.0389893543852,27835.0017747088,27.5049424651273,"parque_bicentenario",2.78767123287671,215.258330269028,-33.396764,-70.595426,"Empresa","Persona","T1",20.7464102481366,16.7211528773359,"2021-03-27",59.2687747035573
"189",189,18707,298,137,1955,59.0000000000002,8551.97205640347,28.6978928067231,"parque_bicentenario",3,153.291015051089,-33.396575,-70.595177,"Empresa","Persona","T4",20.7464102481366,15.1877464631883,"2014-12-04",62.7751677852349
"190",190,15751,238,143,1954,59.5326678912832,7081.57903907586,29.7545337776297,"parque_bicentenario",3.06293706293706,153.207397204297,-33.396504,-70.595536,"Persona","Persona","T3",20.7464102481366,14.7598160363611,"2014-08-21",66.1806722689076
"191",191,28000,684,168,1967,47.7765849961975,19131.2739182343,27.9696987108689,"parque_bicentenario",2.16666666666667,157.865324062112,-33.396453,-70.596286,"Persona","Persona","T2",20.7464102481366,21.1813079833955,"2015-04-18",40.9356725146199
"192",192,23750,718,326,1971,18.223898948097,27612.7497660611,38.4578687549597,"parque_bicentenario",1,141.696082456564,-33.396428,-70.596462,"Persona","Persona","T1",20.7464102481366,32.2538473827866,"2014-01-26",33.0779944289694
"193",193,12244,192,122,1955,64,5160.5761995418,26.8780010392802,"parque_bicentenario",3,194.959351316001,-33.393685,-70.592735,"Persona","Persona","T1",18.2107386015295,15.1877464631883,"2019-02-20",63.7708333333333
"194",194,38000,641,179,1965,54,16442.1008679939,25.6507033822058,"parque_bicentenario",2,194.959351316001,-33.393926,-70.592209,"Empresa","Persona","T1",18.2107386015295,22.6419768342476,"2019-03-22",59.2823712948518
"195",195,39203,640,206,1954,65.0000000000002,15500.7271143235,24.2198861161305,"parque_bicentenario",3,194.111243994392,-33.39379,-70.592082,"Empresa","Empresa","T2",18.2107386015295,15.1877464631883,"2019-04-13",61.2546875
"196",196,61200,600,200,1968,47.2587844759287,24464.3786583202,40.7739644305337,"parque_bicentenario",3.3,180.92248440859,-33.394994,-70.597001,"Empresa","Persona","T4",32.1569165241522,12.6307776221157,"2017-12-20",102
"197",197,29809,464,187,1965,48.8779442769201,13213.9412732729,28.4783217096399,"parque_bicentenario",3,203.460525846961,-33.395169,-70.596668,"Empresa","Persona","T4",20.7464102481366,14.9075790334443,"2019-10-13",64.2435344827586
"198",198,19365,451,140,1970,48,12558.0751831177,27.8449560601279,"parque_bicentenario",3,184.771172717264,-33.394852,-70.596505,"Persona","Empresa","T2",20.7464102481366,15.1877464631883,"2018-04-22",42.9379157427938
